timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.5,body_pct,high,60,0.18072295896955215,193,45.59585492227979,"45,6%",3.980948089981652,"4,0%",47,36.17021276595745,"36,2%",1.602311531389553,"1,6%"
1h,PFR,1.5,ret_1_pct,high,60,0.18105016111102046,193,45.59585492227979,"45,6%",3.980948089981652,"4,0%",47,36.17021276595745,"36,2%",1.602311531389553,"1,6%"
1h,PFR,1.5,vol_z,high,50,-0.267521786853665,161,45.962732919254655,"46,0%",4.347826086956516,"4,3%",47,36.17021276595745,"36,2%",1.602311531389553,"1,6%"
1h,PFR,1.5,upper_wick_pct,low,50,0.10626524120027314,161,40.993788819875775,"41,0%",-0.6211180124223645,"-0,6%",53,35.84905660377358,"35,8%",1.2811553692056847,"1,3%"
1h,PFR,1.5,ret_3_pct,high,60,-0.03358373133058643,193,42.487046632124354,"42,5%",0.8721397998262148,"0,9%",53,35.84905660377358,"35,8%",1.2811553692056847,"1,3%"
1h,PFR,1.5,clv,low,60,0.8816585081612031,193,42.487046632124354,"42,5%",0.8721397998262148,"0,9%",45,35.55555555555556,"35,6%",0.9876543209876587,"1,0%"
1h,PFR,1.5,lower_wick,high,50,110.5,161,42.857142857142854,"42,9%",1.2422360248447148,"1,2%",65,35.38461538461539,"35,4%",0.8167141500474884,"0,8%"
1h,PFR,1.5,ret_5_pct,high,60,0.35768098894303435,193,38.34196891191709,"38,3%",-3.2729379203810467,"-3,3%",40,35.0,"35,0%",0.4320987654321016,"0,4%"
1h,PFR,1.5,range,high,50,267.75,161,42.857142857142854,"42,9%",1.2422360248447148,"1,2%",72,34.72222222222222,"34,7%",0.154320987654323,"0,2%"
1h,PFR,1.5,upper_wick,high,40,46.41999999999971,129,42.63565891472868,"42,6%",1.0207520824305405,"1,0%",49,34.69387755102041,"34,7%",0.12597631645250829,"0,1%"
1h,PFR,1.5,atr,high,50,314.05268314215675,161,42.857142857142854,"42,9%",1.2422360248447148,"1,2%",78,34.61538461538461,"34,6%",0.04748338081671477,"0,0%"
1h,PFR,1.5,range,high,60,214.8,193,45.59585492227979,"45,6%",3.980948089981652,"4,0%",78,34.61538461538461,"34,6%",0.04748338081671477,"0,0%"
1h,PFR,1.5,sma8,high,40,41065.625,129,44.18604651162791,"44,2%",2.571139679329768,"2,6%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,sma8,high,50,35706.51875,161,45.3416149068323,"45,3%",3.7267080745341588,"3,7%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,sma8,high,60,28121.705,193,46.63212435233161,"46,6%",5.017217520033469,"5,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,sma80,high,40,39512.4475,129,44.18604651162791,"44,2%",2.571139679329768,"2,6%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,sma80,high,50,34661.965625,161,45.3416149068323,"45,3%",3.7267080745341588,"3,7%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,sma80,high,60,27405.479000000003,193,46.1139896373057,"46,1%",4.499082805007561,"4,5%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,atr,high,60,237.07132522272954,193,43.523316062176164,"43,5%",1.9084092298780249,"1,9%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_high_20,high,40,41661.9,129,44.96124031007752,"45,0%",3.346333477779382,"3,3%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_high_20,high,50,36594.0,161,45.3416149068323,"45,3%",3.7267080745341588,"3,7%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_high_20,high,60,28463.18,193,46.63212435233161,"46,6%",5.017217520033469,"5,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_low_20,high,40,39139.0,129,44.18604651162791,"44,2%",2.571139679329768,"2,6%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_low_20,high,50,33861.0,161,45.962732919254655,"46,0%",4.347826086956516,"4,3%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,rolling_low_20,high,60,27166.68,193,46.63212435233161,"46,6%",5.017217520033469,"5,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,10,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,15,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,20,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,25,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
